category,Revenue
mobiles&Tablets,21.8
applicances,5.45
entertainment,5.5
others,2.85
computing,1.77
women's fashion,1.05
men's fashion,0.84
superstore,0.53
beauty& grooming,0.5
home&living,0.35
health&sports,0.16
kids&baby,0.15
soghaat,0.12
