category,Revenue
mobiles&Tablets,51.6
applicances,11.23
entertainment,10.16
others,5.71
computing,3.48
women's fashion,2.48
men's fashion,1.7
superstore,0.89
beauty& grooming,0.86
home&living,0.61
health&sports,0.38
kids&baby,0.29
soghaat,0.18
