category,Revenue
mobiles&Tablets,22.09
applicances,5.4
entertainment,4.3
others,2.65
computing,1.58
women's fashion,1.35
men's fashion,0.89
superstore,0.51
beauty& grooming,0.45
home&living,0.3
health&sports,0.14
kids&baby,0.17
soghaat,0.11
